x1,x2,x3,x4,x5,x6
1.0,1,"[0, 0]",1,2,1
1.0,1,"[0, 0]",2,3,2
1.0,1,"[0, 0]",3,3,13
1.0,2,"[0, 0]",1,1,14
1.0,1,"[0, 0]",3,1,2
1.0,2,"[0, 0]",1,1,3
1.0,2,"[0, 0]",1,1,4
1.0,2,"[0, 1]",1,1,3
1.0,2,"[0, 1]",1,1,5
1.0,2,"[0, 1]",1,1,3
1.0,2,"[0, 1]",1,1,4
1.0,2,"[0, 1]",1,1,14
1.0,2,"[0, 0]",1,1,3
1.0,2,"[0, 0]",1,1,5
1.0,1,"[0, 0]",2,3,13
1.0,1,"[0, 0]",2,3,15
1.0,2,"[0, 0]",1,1,16
1.0,2,"[0, 0]",1,1,17
1.0,2,"[0, 1]",1,1,18
1.0,2,"[0, 1]",1,1,19
1.0,2,"[0, 1]",1,1,16
1.0,2,"[0, 1]",1,1,17
1.0,2,"[0, 0]",1,1,18
1.0,2,"[0, 0]",1,1,19
1.0,1,"[0, 0]",3,2,20
1.0,2,"[0, 0]",1,1,21
1.0,2,"[0, 1]",1,1,21
1.0,2,"[0, 1]",1,1,14
1.0,2,"[0, 1]",1,1,21
1.0,2,"[0, 0]",1,1,21
1.0,2,"[0, 0]",1,1,14
1.0,1,"[0, 0]",2,2,13
1.0,2,"[0, 0]",1,1,22
1.0,1,"[0, 0]",2,3,1
1.0,2,"[0, 1]",1,1,3
1.0,2,"[0, 1]",1,1,5
1.0,2,"[0, 1]",1,1,22
1.0,2,"[0, 0]",1,1,3
1.0,2,"[0, 0]",1,1,5
1.0,1,"[0, 0]",2,1,2
1.0,1,"[0, 0]",3,2,23
1.0,2,"[0, 0]",1,1,3
1.0,2,"[0, 1]",1,1,3
1.0,1,"[0, 0]",1,3,6
1.0,2,"[0, 0]",1,1,24
1.0,1,"[0, 0]",3,2,6
1.0,2,"[0, 0]",1,1,7
1.0,2,"[0, 1]",1,1,8
1.0,2,"[0, 1]",1,1,7
1.0,2,"[0, 1]",1,1,24
1.0,2,"[0, 0]",1,1,8
1.0,1,"[0, 0]",1,3,6
1.0,1,"[0, 0]",3,2,25
1.0,2,"[0, 0]",1,1,8
1.0,2,"[0, 1]",1,1,8
1.0,2,"[0, 1]",1,1,8
1.0,2,"[0, 0]",1,1,8
1.0,1,"[0, 0]",2,3,9
1.0,2,"[0, 0]",1,1,26
1.0,1,"[0, 0]",3,1,9
1.0,2,"[0, 0]",1,1,10
1.0,2,"[0, 1]",1,1,10
1.0,2,"[0, 1]",1,1,11
1.0,2,"[0, 1]",1,1,10
1.0,2,"[0, 1]",1,1,26
1.0,2,"[0, 0]",1,1,10
1.0,2,"[0, 0]",1,1,11
1.0,2,"[0, 1]",1,1,26
1.0,2,"[0, 0]",1,1,26
1.0,1,"[0, 0]",1,2,13
1.0,1,"[0, 0]",1,2,27
1.0,2,"[0, 0]",1,1,18
1.0,2,"[0, 0]",1,1,28
1.0,2,"[0, 0]",1,1,29
1.0,2,"[0, 0]",1,1,22
1.0,2,"[0, 1]",1,1,29
1.0,2,"[0, 1]",1,1,22
1.0,2,"[0, 1]",1,1,18
1.0,2,"[0, 1]",1,1,28
1.0,1,"[0, 0]",1,3,1
1.0,1,"[0, 0]",3,2,2
1.0,1,"[0, 0]",2,1,30
1.0,2,"[0, 0]",1,1,31
1.0,2,"[0, 0]",1,1,31
1.0,2,"[0, 0]",1,1,32
1.0,2,"[0, 1]",1,1,31
1.0,2,"[0, 1]",1,1,32
1.0,2,"[0, 1]",1,1,31
1.0,2,"[0, 1]",1,1,32
1.0,2,"[0, 0]",1,1,32
1.0,1,"[0, 0]",1,2,6
1.0,1,"[0, 0]",2,3,33
1.0,2,"[0, 0]",1,1,34
1.0,2,"[0, 1]",1,1,29
1.0,2,"[0, 1]",1,1,34
1.0,2,"[0, 0]",1,1,29
1.0,2,"[0, 1]",1,1,35
1.0,2,"[0, 0]",1,1,35
1.0,1,"[0, 0]",2,1,36
1.0,2,"[0, 0]",1,1,7
1.0,2,"[0, 0]",1,1,7
1.0,2,"[0, 1]",1,1,7
1.0,2,"[0, 1]",1,1,7
1.0,1,"[0, 0]",2,3,6
1.0,2,"[0, 0]",1,1,24
1.0,2,"[0, 1]",1,1,24
1.0,2,"[0, 1]",1,1,10
1.0,2,"[0, 1]",1,1,11
1.0,2,"[0, 0]",1,1,10
1.0,2,"[0, 0]",1,1,11
1.0,1,"[0, 0]",2,1,9
1.0,1,"[0, 0]",3,2,37
1.0,2,"[0, 0]",1,1,10
1.0,2,"[0, 1]",1,1,10
1.0,1,"[0, 0]",1,2,38
1.0,2,"[0, 0]",1,1,35
1.0,2,"[0, 0]",1,1,39
1.0,2,"[0, 1]",1,1,39
1.0,2,"[0, 1]",1,1,35
1.0,1,"[0, 0]",3,2,9
1.0,2,"[0, 0]",1,1,19
1.0,2,"[0, 1]",1,1,19
